"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Columbia Checking 3063","","02/16/2027","YNAB","📺 Subs: [Annual]","📺 Subs","[Annual]","",$108.45,$0.00,"Uncleared"
"Columbia Checking 3063","Orange","01/07/2027","Paramount+ (exp 1/7/27)","Hidden Categories: Paramount+ (ends 1/7/27)","Hidden Categories","Paramount+ (ends 1/7/27)","Cancel",$153.99,$0.00,"Uncleared"
"Columbia Checking 3063","","01/04/2027","Apple","📺 Subs: [Annual]","📺 Subs","[Annual]","AnyList",$11.02,$0.00,"Uncleared"
"Columbia Checking 3063","","11/25/2026","Washington State Department of Licensing","🔁 True: Auto Registration","🔁 True","Auto Registration","Highlander registration",$350.00,$0.00,"Uncleared"
"Columbia Checking 3063","","09/05/2026","West Seattle Bowl","🌿 QoL: Bowling League","🌿 QoL","Bowling League","",$496.00,$0.00,"Uncleared"
"Columbia Checking 3063","","05/22/2026","Washington State Department of Licensing","🔁 True: Auto Registration","🔁 True","Auto Registration","Accord registration",$170.00,$0.00,"Uncleared"
"Amy's Accrue 401K","","05/22/2026","","","","","",$0.00,$0.00,"Uncleared"
"Columbia Checking 3063","","04/24/2026","Seattle Public Utilities","🏠 Core: Utilities | Seattle Public Utilities","🏠 Core","Utilities | Seattle Public Utilities","SPU",$395.19,$0.00,"Uncleared"
"Columbia Checking 3063","","04/05/2026","Thrive Market","📺 Subs: [Annual]","📺 Subs","[Annual]","Annual Membership",$59.95,$0.00,"Uncleared"
"Columbia Checking 3063","","03/28/2026","Seattle City Light","🏠 Core: Utilities | Seattle City Light","🏠 Core","Utilities | Seattle City Light","SCL",$325.00,$0.00,"Uncleared"
"Columbia Checking 3063","","03/22/2026","T-Mobile","🏠 Core: Phones | T-Mobile","🏠 Core","Phones | T-Mobile","Split (1/2) ",$315.59,$0.00,"Uncleared"
"Columbia Checking 3063","","03/22/2026","T-Mobile","📺 Subs: Netflix Premium (via T-Mobile)","📺 Subs","Netflix Premium (via T-Mobile)","Split (2/2) ",$18.00,$0.00,"Uncleared"
"Columbia Checking 3063","","03/22/2026","Comcast","🏠 Core: Internet | Comcast","🏠 Core","Internet | Comcast","estimate",$66.00,$0.00,"Uncleared"
"Columbia Checking 3063","","03/14/2026","Esurance","🔁 True: Auto Insurance | Esurance","🔁 True","Auto Insurance | Esurance","$5/mo for autopay",$475.81,$0.00,"Uncleared"
